Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Traffic Type,Geo-location Data,Severity Level,Action Taken
16.65.249.237,24.79.26.247,57819,10509,ICMP,107,HTTP,"Nashik, Assam",High,Ignored
122.130.86.58,110.54.165.63,49005,19289,ICMP,317,HTTP,"Medininagar, Himachal Pradesh",Low,Ignored
193.45.37.6,191.56.96.54,56497,23998,ICMP,875,HTTP,"Tiruppur, Nagaland",High,Blocked
68.123.14.202,168.106.24.90,32348,12619,UDP,576,DNS,"Siliguri, Haryana",Low,Blocked
19.14.168.54,68.144.93.235,23870,21385,TCP,619,FTP,"Tiruppur, Bihar",High,Logged
168.159.245.149,211.64.146.125,46895,63852,TCP,1224,HTTP,"Guntur, Tamil Nadu",Medium,Logged
22.96.76.59,43.219.176.9,11468,31398,TCP,632,FTP,"Bhimavaram, Assam",Low,Logged
163.93.76.114,36.148.218.135,30954,3615,UDP,670,HTTP,"Hazaribagh, Uttar Pradesh",Low,Blocked
37.225.176.201,204.179.190.185,59009,28541,ICMP,88,HTTP,"Vadodara, Himachal Pradesh",High,Blocked
123.233.44.106,154.223.194.82,38169,9878,TCP,1497,HTTP,"Bhatpara, West Bengal",Low,Ignored
158.145.58.183,82.213.128.111,35384,2184,ICMP,304,DNS,"Noida, Mizoram",High,Ignored
193.109.94.146,189.14.24.22,22371,4914,ICMP,1001,HTTP,"Hospet, Assam",Low,Ignored
122.108.169.214,7.195.147.252,10510,4024,UDP,1352,HTTP,"Madanapalle, Odisha",High,Logged
64.58.36.254,179.161.134.184,57482,1091,UDP,548,FTP,"Kalyan-Dombivli, Gujarat",Low,Blocked
61.217.244.146,167.60.226.61,7703,19110,UDP,1114,DNS,"Visakhapatnam, Maharashtra",High,Logged
21.23.245.141,135.172.206.155,33992,31136,TCP,149,DNS,"Singrauli, Telangana",Low,Ignored
183.2.17.209,205.172.143.0,55666,4791,TCP,548,FTP,"Begusarai, Uttarakhand",Medium,Logged
89.234.123.19,180.17.247.177,20947,24568,UDP,1106,HTTP,"Pallavaram, Haryana",High,Logged
157.164.90.122,7.220.81.96,38322,33655,UDP,1290,FTP,"Alwar, Gujarat",Low,Ignored
123.185.30.222,22.188.5.93,15973,29809,UDP,190,DNS,"Thane, Arunachal Pradesh",High,Logged
185.157.240.136,107.0.155.243,5107,60905,ICMP,995,DNS,"Bangalore, Uttar Pradesh",High,Logged
195.177.54.54,50.191.236.203,15067,58291,TCP,1342,HTTP,"Tinsukia, Meghalaya",High,Blocked
221.219.44.103,36.211.253.244,18782,24516,ICMP,722,HTTP,"Coimbatore, Tamil Nadu",Medium,Ignored
86.165.141.178,19.155.138.245,44364,53766,ICMP,1181,DNS,"Howrah, Sikkim",Low,Blocked
70.228.121.60,204.219.67.217,11307,36569,TCP,907,DNS,"Varanasi, Telangana",Medium,Logged
201.86.3.78,13.200.168.199,62568,27834,ICMP,1427,HTTP,"Indore, Rajasthan",High,Ignored
61.152.211.241,155.90.185.195,16019,14834,UDP,793,HTTP,"Ballia, Jharkhand",Low,Blocked
46.229.143.176,218.214.206.217,54052,10368,ICMP,686,DNS,"Gopalpur, Andhra Pradesh",Low,Ignored
38.130.51.208,190.9.156.57,40014,9720,UDP,1092,DNS,"Rewa, Uttarakhand",Low,Logged
27.57.214.142,46.220.52.17,55034,52843,UDP,492,HTTP,"Surendranagar Dudhrej, Sikkim",High,Logged
86.45.110.141,92.133.40.138,31548,18263,UDP,811,FTP,"Begusarai, Andhra Pradesh",Medium,Blocked
29.187.204.185,178.79.44.158,14156,14806,ICMP,1444,HTTP,"Latur, Himachal Pradesh",Low,Logged
168.230.63.34,170.34.138.235,7828,38216,UDP,423,DNS,"Proddatur, Jharkhand",Low,Logged
221.187.162.221,174.67.68.203,53318,29162,TCP,744,HTTP,"Bhatpara, Tamil Nadu",Low,Ignored
199.219.72.118,159.213.20.78,15743,33364,TCP,173,HTTP,"Raipur, Odisha",Low,Ignored
44.24.112.64,71.28.47.114,27274,28937,ICMP,340,HTTP,"Giridih, Himachal Pradesh",High,Blocked
107.70.70.221,38.176.49.37,13393,3334,ICMP,1082,FTP,"Thanjavur, Uttarakhand",Low,Logged
118.36.129.69,31.41.38.21,35332,61817,ICMP,876,DNS,"Warangal, Meghalaya",Low,Blocked
76.111.202.72,42.40.168.103,47821,52974,UDP,1319,DNS,"Darbhanga, Haryana",Medium,Ignored
148.126.105.201,125.5.69.191,4384,31482,TCP,976,DNS,"Gwalior, Nagaland",Medium,Blocked
130.204.139.35,165.165.89.101,27807,53451,UDP,985,HTTP,"South Dumdum, Uttar Pradesh",High,Logged
100.247.164.6,154.189.148.49,39737,17067,ICMP,902,FTP,"Kurnool, Karnataka",Medium,Logged
88.204.79.6,64.153.177.110,16224,48472,UDP,889,HTTP,"Vijayanagaram, Sikkim",Medium,Blocked
149.253.227.55,77.40.158.129,31907,51180,TCP,1492,HTTP,"Chandigarh, Manipur",Medium,Logged
160.148.168.183,214.36.26.162,26586,17971,UDP,787,DNS,"Pune, Himachal Pradesh",Low,Logged
75.160.180.145,149.125.243.212,25179,13739,ICMP,1070,HTTP,"Rajkot, Tamil Nadu",Medium,Logged
169.21.155.127,171.38.239.42,47513,9156,UDP,1455,FTP,"Gudivada, Punjab",High,Ignored
92.192.73.229,72.77.74.9,12215,50585,TCP,640,HTTP,"Maheshtala, Chhattisgarh",Medium,Blocked
129.189.216.143,197.202.27.160,19199,27928,ICMP,1178,HTTP,"Tirunelveli, Gujarat",High,Ignored
60.223.224.39,218.187.232.192,26123,7023,ICMP,158,HTTP,"Raipur, Himachal Pradesh",Medium,Ignored
172.26.245.135,21.131.246.181,22345,60531,ICMP,1409,FTP,"Ichalkaranji, Himachal Pradesh",Low,Ignored
57.64.88.197,117.180.242.111,55305,60529,UDP,866,DNS,"Bihar Sharif, Manipur",Medium,Ignored
144.98.223.88,121.165.184.11,48262,22039,TCP,343,HTTP,"Chennai, Chhattisgarh",Medium,Blocked
217.68.188.168,197.49.231.196,22623,16469,ICMP,531,FTP,"Rajahmundry, Telangana",Low,Ignored
205.63.22.106,64.111.164.43,28872,35773,ICMP,1387,DNS,"Pallavaram, West Bengal",Medium,Ignored
216.215.211.18,183.6.121.71,33910,47951,TCP,715,HTTP,"Patiala, Himachal Pradesh",High,Ignored
62.75.113.77,216.196.28.158,42864,48696,ICMP,765,DNS,"Ranchi, Sikkim",Low,Blocked
59.130.224.255,74.58.58.46,52040,21434,TCP,646,DNS,"Ballia, Haryana",Low,Ignored
174.146.252.123,107.24.14.107,48973,47133,TCP,1142,HTTP,"Bhiwandi, Nagaland",Low,Ignored
43.21.38.240,41.177.63.177,8137,20031,ICMP,1005,FTP,"Bhiwandi, Andhra Pradesh",Low,Blocked
140.199.137.100,117.235.111.116,55509,5152,ICMP,984,FTP,"Raurkela Industrial Township, Sikkim",Low,Logged
144.25.158.239,109.197.80.147,41801,19629,UDP,512,HTTP,"Bhimavaram, Madhya Pradesh",Low,Blocked
206.106.57.176,81.164.233.152,62889,50054,UDP,1191,DNS,"Loni, Himachal Pradesh",Low,Logged
123.171.184.232,110.132.126.21,45613,2799,ICMP,527,DNS,"Raurkela Industrial Township, Odisha",High,Logged
164.100.122.239,98.123.107.77,59752,42693,TCP,1388,FTP,"Bihar Sharif, Jharkhand",High,Blocked
90.212.23.56,68.159.228.93,51523,35455,TCP,425,DNS,"Muzaffarnagar, Maharashtra",High,Logged
24.22.149.26,146.21.102.253,13158,15042,UDP,491,FTP,"Phusro, Madhya Pradesh",High,Blocked
194.234.162.202,147.51.254.72,18221,25776,ICMP,668,HTTP,"Kozhikode, Telangana",Medium,Ignored
123.137.242.84,218.199.100.246,23041,49310,TCP,1127,DNS,"Medininagar, Uttarakhand",High,Logged
72.133.31.200,105.23.80.132,62891,50690,TCP,1292,FTP,"Nanded, Jharkhand",High,Ignored
192.71.135.165,9.53.243.2,2887,60489,UDP,1026,DNS,"Dindigul, Uttarakhand",Medium,Ignored
175.197.78.254,78.172.11.97,40397,45649,TCP,712,FTP,"Pudukkottai, Odisha",High,Logged
52.60.84.83,144.62.44.31,54438,5822,ICMP,1310,HTTP,"Bhilwara, Goa",Medium,Ignored
46.227.63.254,202.242.212.55,20302,11700,UDP,1409,HTTP,"Narasaraopet, West Bengal",Medium,Logged
55.254.137.72,207.157.165.225,33051,29949,UDP,939,HTTP,"Raebareli, Chhattisgarh",Medium,Blocked
158.64.80.181,47.104.175.219,39597,14517,UDP,361,DNS,"Tiruchirappalli, Madhya Pradesh",Low,Blocked
205.187.4.102,204.181.156.0,58860,54145,ICMP,723,FTP,"Jehanabad, Arunachal Pradesh",Medium,Ignored
73.162.206.250,73.201.71.6,63422,60576,TCP,1409,DNS,"Raipur, Nagaland",Medium,Blocked
139.195.148.49,193.199.239.126,16307,12755,ICMP,354,HTTP,"Dehradun, Tamil Nadu",Low,Ignored
50.222.101.194,18.182.113.129,30570,50212,UDP,876,FTP,"Secunderabad, Manipur",Medium,Logged
215.251.119.225,157.91.254.247,25983,4283,UDP,254,HTTP,"Jorhat, Kerala",Low,Ignored
194.248.29.212,206.207.199.114,58743,25449,UDP,1100,FTP,"Madhyamgram, Arunachal Pradesh",Low,Blocked
51.131.211.140,48.127.124.127,52181,46157,TCP,574,FTP,"Tiruppur, Odisha",Low,Ignored
36.70.101.165,33.185.161.157,7193,39284,ICMP,167,DNS,"Panipat, West Bengal",Low,Logged
63.65.61.99,145.138.218.23,13042,10486,UDP,814,DNS,"Pudukkottai, Odisha",Low,Logged
196.194.50.241,215.5.7.197,29637,50534,UDP,121,FTP,"Etawah, Punjab",High,Ignored
45.62.161.202,31.226.121.151,65102,45442,UDP,863,HTTP,"Suryapet, Uttarakhand",Low,Ignored
46.144.162.187,55.136.160.245,37151,12711,ICMP,187,HTTP,"Warangal, Uttar Pradesh",High,Logged
123.195.89.57,91.194.147.130,51862,11423,UDP,1347,DNS,"Gwalior, Goa",High,Blocked
87.204.43.49,116.107.209.186,54995,28483,ICMP,709,FTP,"Phagwara, Chhattisgarh",Medium,Blocked
89.77.186.73,206.207.48.46,42812,8453,ICMP,591,DNS,"Dharmavaram, Jharkhand",Low,Logged
175.156.131.104,59.14.235.25,16640,37110,TCP,1043,DNS,"North Dumdum, Haryana",Medium,Ignored
31.216.17.77,5.35.109.169,5626,53262,UDP,226,FTP,"Sultan Pur Majra, Arunachal Pradesh",Low,Logged
158.120.65.227,150.9.27.19,49851,27301,ICMP,631,FTP,"Meerut, Telangana",High,Ignored
124.124.105.74,47.212.142.21,13197,54254,ICMP,609,FTP,"Agra, Karnataka",Medium,Logged
10.90.47.5,117.97.204.110,51264,36338,ICMP,1132,HTTP,"Khora , Manipur",High,Ignored
187.197.11.144,152.193.86.107,63406,8837,ICMP,941,FTP,"Jalna, Karnataka",High,Logged
159.102.43.101,34.167.108.175,46797,24409,ICMP,525,HTTP,"Nashik, Jharkhand",High,Logged
88.65.239.52,21.79.133.234,1753,16107,UDP,706,HTTP,"Sasaram, Arunachal Pradesh",Low,Logged
125.111.212.249,19.83.69.229,59666,17863,UDP,1438,DNS,"Maheshtala, Maharashtra",Low,Logged
104.156.21.123,136.66.208.155,45243,43947,TCP,558,DNS,"Jodhpur, Uttarakhand",Medium,Ignored
209.161.38.244,46.226.152.179,63488,7024,ICMP,1485,DNS,"Sultan Pur Majra, Manipur",Low,Ignored
202.11.63.49,158.144.143.90,26653,61828,UDP,1103,DNS,"Karaikudi, Sikkim",High,Ignored
56.200.187.27,49.24.193.94,16791,13072,ICMP,192,FTP,"Guntakal, Bihar",High,Logged
52.18.54.120,7.198.146.170,23731,61767,UDP,1307,DNS,"Nashik, Tripura",High,Ignored
212.145.135.159,3.118.79.165,21488,29508,ICMP,882,FTP,"Munger, Tripura",High,Logged
69.164.58.219,9.31.161.82,13374,61256,TCP,1364,HTTP,"Akola, Uttar Pradesh",Medium,Blocked
58.243.244.213,110.212.170.21,53218,46503,TCP,1368,FTP,"Sikar, Manipur",Low,Logged
203.33.240.253,56.220.194.14,15241,28035,TCP,418,HTTP,"Danapur, Telangana",Medium,Blocked
26.247.4.109,85.69.149.85,6583,50994,ICMP,878,HTTP,"Machilipatnam, Assam",High,Blocked
223.213.102.111,91.20.53.117,1069,27287,UDP,1358,HTTP,"Ichalkaranji, Uttarakhand",Low,Ignored
44.67.194.108,74.34.94.239,59250,54771,UDP,721,HTTP,"Anantapur, Goa",Low,Ignored
79.171.1.155,121.217.211.213,3816,53453,TCP,1084,DNS,"Kakinada, Telangana",Low,Logged
187.142.95.56,100.253.162.223,63776,58671,UDP,399,HTTP,"Vadodara, Odisha",High,Logged
152.65.55.56,8.30.176.111,31713,13845,ICMP,980,FTP,"Darbhanga, Uttarakhand",Low,Blocked
134.62.160.122,50.53.189.125,57940,21434,UDP,1144,FTP,"Pune, Bihar",Medium,Ignored
210.18.79.37,43.250.137.209,4033,47128,TCP,423,FTP,"Mumbai, Manipur",Low,Blocked
220.9.223.196,11.39.120.114,39822,55660,ICMP,580,FTP,"Mangalore, Telangana",Low,Ignored
39.141.115.202,109.9.240.107,21364,7436,ICMP,770,FTP,"Ghaziabad, Jharkhand",High,Logged
197.119.239.236,71.203.239.172,54091,17340,UDP,308,DNS,"Chinsurah, Tamil Nadu",Medium,Logged
14.59.56.74,75.118.190.146,56288,33177,ICMP,438,DNS,"Muzaffarnagar, Maharashtra",Low,Blocked
157.38.225.119,111.141.97.180,19944,51870,TCP,587,DNS,"Mumbai, Gujarat",Low,Blocked
160.146.191.30,204.129.91.203,61939,60901,TCP,665,DNS,"Jodhpur, Uttarakhand",Low,Ignored
208.69.237.108,116.12.80.116,5617,22614,UDP,717,HTTP,"Bahraich, Madhya Pradesh",Low,Ignored
21.212.222.254,188.5.118.35,21202,63110,ICMP,1407,FTP,"Singrauli, Andhra Pradesh",High,Logged
104.75.100.253,12.163.45.8,6968,31173,TCP,1090,FTP,"Gulbarga, Goa",Low,Ignored
181.12.178.114,5.54.3.221,45151,33913,ICMP,381,FTP,"Bokaro, Kerala",High,Logged
183.172.156.120,157.5.83.69,61227,23677,ICMP,802,FTP,"Rohtak, Himachal Pradesh",High,Ignored
74.216.222.94,138.230.84.186,9697,19057,TCP,574,FTP,"Bhiwandi, Nagaland",High,Ignored
147.145.65.128,7.133.41.239,10057,33783,UDP,1152,DNS,"Ramagundam, Himachal Pradesh",Low,Ignored
102.23.64.2,184.99.107.184,40356,33067,UDP,350,DNS,"Alappuzha, Meghalaya",Low,Ignored
30.29.44.104,55.210.48.133,24450,40274,TCP,1240,DNS,"Ghaziabad, Punjab",Low,Blocked
147.173.11.4,182.11.110.8,9225,42698,TCP,591,HTTP,"Faridabad, Karnataka",Low,Blocked
205.46.59.104,47.182.229.23,8624,52609,TCP,497,DNS,"Vijayawada, Karnataka",High,Ignored
182.22.10.254,31.243.169.112,4605,46797,UDP,185,HTTP,"Sirsa, Jharkhand",Medium,Logged
206.182.94.109,171.247.4.156,40124,23142,TCP,72,FTP,"Nagpur, Himachal Pradesh",High,Blocked
190.109.214.204,143.206.49.2,47241,19795,TCP,363,DNS,"Malegaon, Andhra Pradesh",Low,Logged
175.227.219.0,175.204.107.216,31749,56290,TCP,305,DNS,"Bahraich, Telangana",Low,Blocked
215.102.228.36,49.126.133.177,39097,11281,UDP,1201,FTP,"Loni, Arunachal Pradesh",Medium,Blocked
142.221.128.188,64.112.118.102,47361,25611,UDP,638,HTTP,"Mango, Karnataka",Low,Ignored
121.69.27.10,156.223.190.24,62568,43207,ICMP,1428,DNS,"Vasai-Virar, Nagaland",Low,Logged
88.28.87.41,122.21.158.210,64069,17764,TCP,863,DNS,"Etawah, Sikkim",Low,Blocked
95.188.115.128,110.174.196.227,47307,22903,ICMP,283,FTP,"Coimbatore, Telangana",Low,Logged
62.156.64.165,216.250.141.138,49233,57114,TCP,556,DNS,"Tirupati, Sikkim",High,Logged
192.217.21.40,34.96.135.41,28163,54197,TCP,482,DNS,"Kadapa, Kerala",Low,Logged
198.249.153.149,152.65.175.192,44775,28188,TCP,1158,FTP,"Bangalore, Tamil Nadu",Low,Blocked
110.238.142.101,165.183.173.131,24411,28104,UDP,791,HTTP,"Jabalpur, Goa",High,Logged
199.1.140.129,109.89.146.42,4226,25237,ICMP,956,HTTP,"Bihar Sharif, West Bengal",Low,Logged
205.37.0.136,82.243.180.194,57999,55997,UDP,195,DNS,"Miryalaguda, Bihar",High,Blocked
133.45.221.126,91.73.252.92,52233,37396,TCP,960,FTP,"Karimnagar, Himachal Pradesh",High,Blocked
166.253.212.92,87.142.87.242,30658,5272,UDP,670,DNS,"Kota, Punjab",Medium,Logged
133.109.76.93,115.202.177.66,16161,30577,TCP,432,DNS,"Tadepalligudem, Goa",Low,Ignored
12.17.46.235,65.44.31.247,51950,27368,UDP,558,FTP,"Tinsukia, Maharashtra",High,Logged
190.80.20.82,6.201.62.32,13125,15039,UDP,969,FTP,"Bahraich, Andhra Pradesh",Low,Logged
183.7.190.179,156.179.93.15,12234,19426,UDP,1089,HTTP,"Saharanpur, Jharkhand",Medium,Logged
122.237.47.8,84.56.120.189,29590,33277,TCP,992,FTP,"Rajahmundry, Rajasthan",High,Ignored
168.19.48.227,6.15.46.182,3205,25333,UDP,1418,HTTP,"Adoni, Odisha",Low,Blocked
20.79.145.101,90.149.57.59,24743,13223,UDP,1483,FTP,"Kochi, Bihar",Medium,Blocked
131.22.254.220,162.90.72.92,7954,19350,TCP,1104,FTP,"Howrah, Uttar Pradesh",Medium,Logged
59.140.144.62,194.166.45.88,12945,23374,ICMP,514,HTTP,"Firozabad, Meghalaya",Low,Ignored
212.253.164.191,17.62.29.174,26735,50914,UDP,636,FTP,"Mirzapur, Jharkhand",Medium,Logged
170.252.196.163,122.126.217.52,54492,43337,UDP,358,HTTP,"Fatehpur, Arunachal Pradesh",Medium,Logged
107.230.81.225,40.251.72.255,47759,5860,UDP,1061,FTP,"Bhind, Chhattisgarh",High,Blocked
52.7.38.83,222.221.33.153,12441,32298,UDP,107,FTP,"Jalandhar, West Bengal",High,Ignored
186.78.173.116,131.169.236.53,7389,39326,UDP,911,HTTP,"Mehsana, Nagaland",Low,Blocked
124.234.171.49,169.38.104.61,24913,3631,ICMP,1065,HTTP,"Nizamabad, Meghalaya",High,Ignored
84.34.195.12,145.191.183.18,17262,5677,TCP,932,DNS,"Pudukkottai, Jharkhand",Low,Blocked
61.189.101.6,171.179.184.111,14923,43610,TCP,308,DNS,"Bahraich, Uttarakhand",Low,Ignored
220.84.129.101,54.121.189.29,48806,52016,UDP,840,FTP,"Raipur, Chhattisgarh",Medium,Blocked
109.143.38.209,80.23.231.188,10741,49591,TCP,802,DNS,"Motihari, Kerala",Medium,Logged
212.198.227.35,13.68.91.5,20194,30966,TCP,1163,DNS,"Bardhaman, Jharkhand",High,Ignored
162.53.253.196,160.198.87.152,32012,18739,UDP,798,HTTP,"Bangalore, Punjab",Low,Ignored
161.103.195.137,51.172.212.120,45316,47326,UDP,1335,HTTP,"Suryapet, Chhattisgarh",Low,Logged
169.34.162.230,26.24.253.146,60497,34238,TCP,452,FTP,"Kolkata, Jharkhand",Low,Ignored
24.41.84.96,139.198.241.166,23834,31798,TCP,195,FTP,"Mirzapur, Gujarat",High,Logged
205.230.133.75,106.133.118.105,15387,8058,UDP,1436,FTP,"Buxar, Assam",High,Blocked
201.90.196.7,62.132.137.49,30448,53028,ICMP,745,FTP,"Dewas, Uttarakhand",Low,Blocked
11.98.159.196,115.60.86.140,27138,1927,ICMP,786,HTTP,"Pune, Nagaland",Low,Ignored
200.115.29.51,86.139.64.110,4130,3321,TCP,1073,DNS,"Korba, Mizoram",Low,Logged
99.27.104.12,76.73.117.91,65267,65005,ICMP,1263,DNS,"Madanapalle, West Bengal",High,Blocked
170.35.191.229,186.51.0.183,46390,14372,TCP,448,HTTP,"Chennai, Rajasthan",High,Ignored
124.49.251.39,6.109.194.16,22473,54864,UDP,1135,HTTP,"Amravati, Goa",Medium,Blocked
137.146.249.82,16.8.182.134,4779,28052,ICMP,1481,HTTP,"Siliguri, Mizoram",High,Logged
95.199.218.16,175.88.31.3,42942,53525,ICMP,666,HTTP,"Avadi, Tripura",Low,Blocked
78.66.75.116,14.111.213.104,3307,61720,ICMP,382,HTTP,"Pondicherry, Manipur",Medium,Logged
90.242.78.226,199.31.5.137,32420,21108,UDP,287,FTP,"Jamnagar, Uttarakhand",Medium,Blocked
53.56.27.198,120.172.169.71,19122,39915,TCP,1230,FTP,"Sagar, Telangana",High,Ignored
47.146.63.93,108.81.174.191,54323,14787,TCP,782,HTTP,"Bhalswa Jahangir Pur, Telangana",Low,Logged
98.215.64.135,29.135.201.205,25835,12903,ICMP,1029,FTP,"Ozhukarai, Rajasthan",Medium,Ignored
221.221.134.171,206.95.20.253,24373,57087,ICMP,603,FTP,"Chittoor, Goa",High,Ignored
95.28.24.60,52.83.49.239,41087,20199,TCP,160,FTP,"Serampore, Rajasthan",Medium,Logged
116.242.149.114,197.59.221.221,41226,33992,TCP,1303,FTP,"Berhampur, Haryana",Low,Ignored
147.249.170.177,88.188.182.204,43345,13162,UDP,924,FTP,"Ajmer, Arunachal Pradesh",High,Logged
12.150.105.214,122.195.144.247,7435,8750,ICMP,1229,FTP,"Solapur, Madhya Pradesh",Low,Logged
108.14.141.47,199.218.68.12,14363,3300,UDP,1247,FTP,"Srikakulam, Rajasthan",High,Blocked
107.130.74.191,186.181.55.141,46676,50401,UDP,457,FTP,"Nandyal, Bihar",Medium,Blocked
88.11.188.250,66.53.159.25,23227,13032,TCP,553,HTTP,"Rajkot, Assam",Low,Logged
133.71.25.84,12.120.118.41,14718,15795,TCP,1458,DNS,"Varanasi, Maharashtra",High,Blocked
17.29.68.101,20.162.29.248,26947,63171,TCP,628,DNS,"Pallavaram, Chhattisgarh",Low,Ignored
106.152.19.217,78.226.143.40,6346,22873,TCP,108,DNS,"Berhampore, Meghalaya",Medium,Ignored
43.143.16.86,57.16.71.161,51197,25367,TCP,899,HTTP,"Indore, Arunachal Pradesh",Medium,Logged
49.21.247.145,31.159.170.218,26858,8571,UDP,704,HTTP,"Patiala, Haryana",Low,Ignored
99.114.62.47,153.255.118.141,45792,35139,TCP,791,FTP,"Bhagalpur, Punjab",Medium,Ignored
